option	alpha	beta	num_valid_clusters	largest_cluster	num_edges_in_clustergraph	num_clusters	go_enrichment	adhd_genes	adhd_enriched_genes	autism_genes	autism_enriched_genes	bipolar_genes	bipolar_enriched_genes	mdd_genes	mdd_enriched_genes	schizophrenia_genes	schizophrenia_enriched_genes	gd_mean	gd_min	gd_25%	gd_75%	gd_max	md_mean	md_min	md_25%	md_75%	md_max
2	0.2	0.69	252	625	216490	252.0	68.0	14.0	5.0	12.0	3.0	1.0	0.0	3.0	2.0	16.0	7.0	31.875	1.0	1.0	5.0	235.0	23.83399209486166	3.0	9.0	23.0	441.0
2	0.2	0.7	245	526	165721	245.0	70.0	14.0	5.0	12.0	8.0	1.0	0.0	3.0	2.0	16.0	6.0	25.0	1.0	1.0	3.5	230.0	25.21951219512195	3.0	9.0	23.0	398.0
2	0.2	0.71	255	530	162637	255.0	74.0	14.0	5.0	12.0	3.0	1.0	0.0	3.0	2.0	16.0	4.0	17.466666666666665	1.0	1.0	2.5	235.0	25.875	3.0	9.0	27.25	395.0
2	0.2	0.72	264	500	147492	264.0	71.0	14.0	5.0	12.0	4.0	1.0	0.0	3.0	2.0	16.0	5.0	22.0	1.0	1.0	1.0	249.0	24.116981132075473	3.0	10.0	23.0	433.0
2	0.2	0.73	276	441	121693	276.0	66.0	14.0	5.0	12.0	3.0	1.0	0.0	3.0	0.0	16.0	7.0	30.666666666666668	1.0	1.0	2.0	262.0	22.794223826714802	3.0	9.0	24.0	345.0
2	0.2	0.74	292	409	104884	292.0	67.0	14.0	5.0	12.0	4.0	1.0	0.0	3.0	2.0	16.0	5.0	22.46153846153846	1.0	1.0	1.0	278.0	21.208191126279864	3.0	9.0	22.0	370.0
2	0.2	0.8	236	66	28132	236.0	63.0	14.0	5.0	12.0	4.0	1.0	0.0	3.0	0.0	16.0	0.0	59.0	1.0	1.0	59.0	233.0	13.708860759493671	3.0	7.0	13.0	475.0
2	0.2	0.9	227	49	26182	227.0	61.0	14.0	5.0	12.0	4.0	1.0	0.0	3.0	0.0	16.0	0.0	227.0	227.0	227.0	227.0	227.0	12.868421052631579	3.0	6.0	12.0	492.0
2	0.21	0.65	93	770	304720	93.0	61.0	14.0	5.0	12.0	0.0	1.0	0.0	3.0	0.0	16.0	6.0	13.571428571428571	1.0	1.0	7.5	76.0	38.11702127659574	3.0	9.25	33.75	532.0
2	0.21	0.66	101	751	291264	101.0	65.0	14.0	5.0	12.0	6.0	1.0	0.0	3.0	0.0	16.0	5.0	11.777777777777779	1.0	1.0	3.0	84.0	41.26470588235294	3.0	10.0	36.25	521.0
