option	alpha	beta	num_valid_clusters	largest_cluster	num_edges_in_clustergraph	num_clusters	go_enrichment	adhd_genes	adhd_enriched_genes	autism_genes	autism_enriched_genes	bipolar_genes	bipolar_enriched_genes	mdd_genes	mdd_enriched_genes	schizophrenia_genes	schizophrenia_enriched_genes	gd_mean	gd_min	gd_25%	gd_50%	gd_75%	gd_max	md_mean	md_min	md_25%	md_50%	md_75%	md_max
2	0.03	0.36	87.0	1251.0	782388.0	87.0	10.0	14.0	0.0	12.0	0.0	1.0	0.0	3.0	0.0	16.0	8.0	5.5	1.0	1.0	3.0	8.25	21.0	23.42528735632184	1.0	2.0	2.0	2.0	622.0
2	0.03	0.37	86.0	1251.0	783481.0	86.0	4.0	14.0	0.0	12.0	0.0	1.0	0.0	3.0	0.0	16.0	8.0	5.866666666666666	1.0	1.5	4.0	8.5	20.0	23.46511627906977	1.0	2.0	2.0	2.0	622.0
2	0.03	0.38	82.0	1230.0	760141.0	82.0	4.0	14.0	5.0	12.0	0.0	1.0	0.0	3.0	0.0	16.0	8.0	6.833333333333333	1.0	2.75	6.5	9.25	19.0	23.926829268292682	2.0	2.0	2.0	2.0	787.0
2	0.03	0.39	81.0	1183.0	719131.0	81.0	4.0	14.0	5.0	12.0	0.0	1.0	0.0	3.0	0.0	16.0	0.0	7.0	1.0	1.0	6.0	10.5	21.0	26.80246913580247	2.0	2.0	2.0	2.0	787.0
2	0.03	0.4	81.0	1230.0	758656.0	81.0	5.0	14.0	5.0	12.0	0.0	1.0	0.0	3.0	0.0	16.0	7.0	6.833333333333333	1.0	1.0	3.5	11.25	21.0	22.876543209876544	2.0	2.0	2.0	2.0	787.0
2	0.03	0.41	126.0	1170.0	711006.0	126.0	34.0	14.0	5.0	12.0	0.0	1.0	0.0	3.0	0.0	16.0	3.0	5.826086956521739	1.0	1.0	1.0	5.5	34.0	21.674603174603174	1.0	2.0	2.0	3.0	718.0
2	0.03	0.42	127.0	1186.0	719185.0	127.0	21.0	14.0	5.0	12.0	0.0	1.0	0.0	3.0	3.0	16.0	4.0	5.739130434782608	1.0	1.0	3.0	5.0	33.0	18.22047244094488	1.0	2.0	2.0	3.0	718.0
2	0.03	0.43	161.0	1162.0	696513.0	161.0	34.0	14.0	5.0	12.0	2.0	1.0	0.0	3.0	0.0	16.0	4.0	6.214285714285714	1.0	1.0	1.0	4.25	45.0	15.677018633540373	1.0	2.0	3.0	4.0	710.0
2	0.03	0.44	165.0	1153.0	702556.0	165.0	38.0	14.0	0.0	12.0	0.0	1.0	0.0	3.0	0.0	16.0	0.0	5.46875	1.0	1.0	1.0	5.0	44.0	18.278787878787877	1.0	2.0	3.0	4.0	568.0
2	0.03	0.45	183.0	1220.0	745959.0	183.0	43.0	14.0	0.0	12.0	0.0	1.0	0.0	3.0	0.0	16.0	6.0	5.542857142857143	1.0	1.0	1.0	5.5	45.0	14.306010928961749	1.0	2.0	3.0	4.0	526.0
